worst,averge,best
10.0,12.6,15.0
10.0,13.0,16.0
9.0,13.9,18.0
11.0,14.7,17.0
12.0,15.6,18.0
10.0,14.0,18.0
10.0,13.0,17.0
9.0,12.9,18.0
7.0,13.3,17.0
9.0,13.4,17.0
9.0,13.2,19.0
8.0,13.6,18.0
10.0,15.3,18.0
9.0,14.2,19.0
8.0,13.7,19.0
13.0,15.4,19.0
12.0,14.7,17.0
10.0,14.4,18.0
10.0,12.5,18.0
11.0,14.3,18.0
12.0,15.8,19.0
10.0,15.5,17.0
8.0,15.0,18.0
10.0,15.1,17.0
10.0,14.6,17.0
9.0,15.3,17.0
8.0,14.7,17.0
12.0,14.7,18.0
8.0,13.7,18.0
11.0,13.5,17.0
10.0,14.0,18.0
8.0,13.4,17.0
12.0,13.7,16.0
10.0,11.9,17.0
11.0,13.5,15.0
9.0,13.8,17.0
8.0,12.1,14.0
8.0,11.7,15.0
8.0,11.2,14.0
11.0,13.2,16.0
9.0,12.3,18.0
9.0,12.2,15.0
11.0,13.1,15.0
11.0,14.4,17.0
10.0,13.4,17.0
12.0,14.9,17.0
10.0,13.0,16.0
6.0,11.8,16.0
8.0,12.5,17.0
8.0,13.2,16.0
13.0,14.5,16.0
10.0,13.5,17.0
13.0,15.7,18.0
12.0,14.8,17.0
12.0,14.7,17.0
10.0,14.8,18.0
12.0,16.4,19.0
11.0,15.0,19.0
12.0,15.3,19.0
12.0,14.2,17.0
12.0,14.7,17.0
13.0,14.7,17.0
13.0,14.4,17.0
12.0,13.9,16.0
9.0,13.7,16.0
12.0,13.4,15.0
10.0,13.8,16.0
11.0,12.7,15.0
10.0,13.3,17.0
7.0,13.0,17.0
11.0,13.6,16.0
11.0,13.3,15.0
11.0,13.5,16.0
9.0,14.5,18.0
10.0,13.7,17.0
9.0,13.2,15.0
10.0,13.1,16.0
11.0,12.8,14.0
10.0,12.4,16.0
8.0,12.0,16.0
9.0,13.0,18.0
11.0,12.8,16.0
11.0,12.8,16.0
10.0,13.4,16.0
9.0,13.0,16.0
11.0,12.6,15.0
10.0,11.8,14.0
11.0,13.1,17.0
10.0,12.6,15.0
11.0,13.3,15.0
11.0,13.6,17.0
10.0,14.0,17.0
10.0,13.5,17.0
8.0,13.6,17.0
12.0,15.0,17.0
10.0,14.5,17.0
12.0,15.0,18.0
10.0,14.5,17.0
12.0,15.5,18.0
12.0,14.6,17.0
11.0,14.6,17.0
10.0,12.8,17.0
9.0,14.0,17.0
11.0,14.6,17.0
9.0,13.9,18.0
9.0,14.9,18.0
12.0,14.9,18.0
11.0,13.1,14.0
11.0,13.4,15.0
9.0,14.2,17.0
10.0,12.8,15.0
11.0,13.7,16.0
12.0,13.9,16.0
11.0,13.8,17.0
11.0,14.5,17.0
11.0,14.1,16.0
10.0,12.7,16.0
11.0,12.1,15.0
11.0,13.4,16.0
9.0,12.2,14.0
9.0,12.8,15.0
11.0,13.0,16.0
9.0,12.4,15.0
10.0,14.0,17.0
11.0,14.1,17.0
10.0,14.4,17.0
10.0,15.4,18.0
11.0,15.0,17.0
9.0,14.3,17.0
11.0,14.3,17.0
10.0,14.0,17.0
10.0,14.1,17.0
10.0,14.1,17.0
11.0,14.9,18.0
8.0,13.9,17.0
10.0,14.2,17.0
10.0,14.1,17.0
11.0,14.8,17.0
12.0,14.6,17.0
10.0,14.1,17.0
9.0,13.7,17.0
10.0,13.9,17.0
7.0,13.0,17.0
12.0,14.2,15.0
10.0,12.6,15.0
9.0,11.5,14.0
8.0,11.8,15.0
7.0,12.4,15.0
9.0,10.9,14.0
6.0,11.4,16.0
9.0,11.7,14.0
7.0,11.2,14.0
8.0,13.0,17.0
8.0,12.8,17.0
9.0,14.2,17.0
9.0,14.0,18.0
9.0,13.7,18.0
9.0,13.5,17.0
7.0,12.5,16.0
9.0,13.5,17.0
12.0,15.0,17.0
9.0,14.5,17.0
11.0,14.2,17.0
12.0,14.6,17.0
13.0,14.6,17.0
11.0,14.7,18.0
11.0,14.7,17.0
13.0,15.8,18.0
14.0,16.2,17.0
12.0,15.8,17.0
12.0,15.2,17.0
12.0,15.3,18.0
14.0,15.6,19.0
9.0,13.7,17.0
