worst,averge,best
1.0,11.38,27.0
18.0,26.25,30.0
27.0,29.62,31.0
30.0,30.68,31.0
31.0,31.01,32.0
31.0,31.62,32.0
32.0,32.02,34.0
32.0,33.37,36.0
34.0,35.49,40.0
36.0,39.08,44.0
40.0,43.16,44.0
44.0,44.0,44.0
44.0,44.0,44.0
44.0,44.0,44.0
44.0,44.0,44.0
44.0,44.0,44.0
44.0,44.03,47.0
44.0,46.13,47.0
47.0,47.0,47.0
47.0,47.01,48.0
47.0,47.57,48.0
48.0,48.0,48.0
48.0,48.0,48.0
48.0,48.0,48.0
48.0,48.0,48.0
48.0,48.0,48.0
48.0,48.0,48.0
48.0,48.0,48.0
48.0,48.0,48.0
48.0,48.0,48.0
48.0,48.0,48.0
48.0,48.0,48.0
48.0,48.0,48.0
48.0,48.0,48.0
48.0,48.08,56.0
48.0,54.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.0,56.0
56.0,56.01,57.0
56.0,56.59,57.0
57.0,57.0,57.0
57.0,57.0,57.0
57.0,57.0,57.0
57.0,57.0,57.0
57.0,57.0,57.0
57.0,57.0,57.0
57.0,57.02,58.0
57.0,57.51,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.02,60.0
58.0,59.04,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.08,64.0
60.0,62.64,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
64.0,64.0,64.0
