worst,averge,best
1.0,11.26,27.0
16.0,25.62,31.0
27.0,30.1,38.0
31.0,36.87,39.0
38.0,38.65,43.0
39.0,41.9,45.0
43.0,44.27,46.0
45.0,45.68,49.0
46.0,48.26,51.0
49.0,50.37,51.0
51.0,51.0,51.0
51.0,51.0,51.0
51.0,51.0,51.0
51.0,51.0,51.0
51.0,51.02,52.0
51.0,51.55,52.0
52.0,52.04,56.0
52.0,54.64,56.0
56.0,56.02,58.0
56.0,57.28,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.0,58.0
58.0,58.02,60.0
58.0,59.18,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
60.0,60.0,60.0
