worst,averge,best
0.0,6.6,64.0
28.0,60.625,86.0
44.0,70.78,102.0
66.0,75.08,105.0
66.0,80.555,110.0
67.0,87.505,119.0
74.0,93.36,119.0
81.0,99.195,126.0
86.0,105.75,143.0
91.0,109.95,143.0
101.0,120.395,150.0
105.0,127.725,150.0
110.0,135.06,163.0
120.0,141.15,205.0
124.0,146.725,205.0
134.0,153.865,205.0
141.0,163.695,216.0
143.0,177.205,244.0
145.0,189.305,245.0
167.0,212.755,255.0
197.0,218.46,271.0
201.0,225.6,271.0
205.0,234.065,285.0
207.0,239.855,285.0
216.0,247.415,286.0
232.0,257.335,285.0
241.0,263.04,300.0
244.0,270.435,356.0
253.0,280.755,356.0
267.0,285.86,356.0
271.0,291.135,356.0
272.0,296.16,360.0
274.0,304.03,360.0
280.0,316.225,398.0
284.0,329.495,398.0
286.0,339.99,399.0
299.0,356.76,398.0
352.0,369.62,428.0
354.0,375.925,428.0
356.0,382.14,425.0
357.0,388.275,430.0
358.0,396.15,445.0
363.0,402.635,445.0
384.0,408.33,445.0
393.0,414.555,457.0
396.0,419.09,457.0
398.0,428.015,457.0
399.0,435.385,511.0
418.0,441.185,511.0
420.0,443.435,465.0
426.0,449.065,512.0
428.0,456.405,512.0
429.0,463.27,512.0
431.0,471.625,520.0
439.0,477.36,516.0
445.0,492.115,520.0
455.0,497.595,520.0
457.0,505.71,522.0
477.0,511.295,523.0
496.0,514.485,522.0
506.0,515.63,525.0
506.0,516.875,525.0
508.0,518.425,525.0
510.0,519.515,532.0
511.0,521.035,532.0
512.0,521.775,535.0
512.0,522.895,535.0
514.0,523.815,535.0
517.0,524.675,535.0
519.0,526.14,535.0
519.0,526.76,535.0
518.0,527.64,536.0
518.0,528.39,538.0
520.0,530.455,538.0
520.0,531.49,540.0
520.0,532.21,540.0
520.0,532.32,540.0
518.0,533.31,540.0
521.0,534.04,545.0
523.0,535.63,550.0
526.0,536.64,550.0
527.0,537.165,550.0
523.0,538.41,550.0
527.0,539.32,550.0
529.0,540.72,551.0
533.0,542.595,556.0
533.0,543.435,551.0
529.0,544.05,551.0
534.0,545.355,556.0
536.0,546.68,553.0
537.0,547.53,556.0
537.0,549.355,556.0
525.0,548.96,556.0
529.0,549.265,556.0
530.0,549.775,567.0
528.0,550.075,567.0
530.0,550.36,567.0
531.0,552.42,567.0
532.0,554.04,567.0
534.0,555.4,567.0
542.0,558.87,576.0
544.0,560.705,576.0
544.0,561.7,583.0
544.0,562.205,582.0
549.0,564.795,582.0
545.0,565.89,583.0
550.0,567.915,583.0
551.0,568.35,583.0
551.0,569.93,583.0
551.0,571.825,583.0
552.0,572.51,586.0
556.0,575.61,591.0
556.0,577.285,583.0
556.0,577.93,591.0
557.0,579.425,597.0
565.0,580.855,597.0
565.0,581.84,597.0
567.0,583.37,597.0
565.0,585.05,597.0
566.0,585.61,597.0
568.0,586.38,597.0
570.0,587.75,597.0
571.0,588.545,597.0
571.0,589.015,607.0
575.0,590.37,597.0
574.0,591.325,598.0
575.0,593.565,609.0
575.0,594.475,607.0
559.0,595.62,611.0
579.0,597.49,622.0
572.0,597.905,611.0
583.0,599.585,622.0
583.0,600.365,622.0
583.0,602.15,622.0
584.0,603.935,622.0
584.0,605.015,622.0
590.0,609.24,622.0
593.0,611.81,622.0
589.0,612.575,622.0
595.0,614.49,625.0
590.0,614.455,622.0
592.0,614.64,625.0
592.0,615.445,625.0
595.0,616.395,625.0
597.0,616.61,625.0
594.0,617.365,631.0
594.0,618.095,631.0
599.0,619.84,631.0
592.0,619.91,631.0
599.0,620.925,631.0
600.0,621.915,631.0
604.0,621.905,631.0
604.0,622.86,631.0
608.0,623.945,633.0
611.0,625.77,632.0
610.0,625.685,639.0
592.0,625.92,637.0
600.0,625.695,637.0
610.0,626.81,648.0
610.0,627.73,648.0
610.0,629.395,648.0
619.0,630.6,648.0
621.0,632.115,648.0
622.0,634.89,660.0
622.0,636.405,648.0
617.0,637.19,648.0
613.0,637.835,660.0
619.0,638.91,661.0
616.0,639.38,660.0
619.0,641.105,662.0
619.0,642.27,662.0
623.0,643.405,662.0
625.0,647.335,664.0
625.0,648.45,664.0
612.0,648.295,668.0
619.0,648.965,665.0
625.0,649.54,691.0
625.0,649.605,691.0
625.0,650.445,691.0
616.0,652.795,691.0
625.0,657.7,691.0
615.0,661.825,693.0
626.0,665.59,691.0
627.0,669.76,693.0
638.0,675.78,691.0
642.0,676.79,710.0
648.0,679.57,699.0
649.0,681.605,710.0
624.0,679.45,710.0
633.0,681.435,710.0
653.0,687.615,710.0
663.0,691.575,713.0
651.0,692.51,713.0
664.0,697.615,713.0
673.0,699.985,716.0
655.0,699.18,716.0
631.0,698.465,716.0
671.0,700.455,721.0
674.0,701.415,721.0
673.0,703.845,722.0
676.0,704.67,721.0
677.0,708.085,727.0
674.0,709.585,722.0
668.0,709.17,727.0
675.0,711.07,727.0
676.0,711.28,727.0
677.0,711.51,727.0
678.0,713.095,728.0
680.0,715.305,728.0
680.0,716.515,730.0
680.0,715.845,730.0
671.0,715.675,735.0
680.0,717.995,730.0
684.0,718.675,735.0
679.0,719.09,736.0
656.0,719.0,735.0
656.0,719.5,736.0
688.0,723.32,735.0
684.0,724.115,741.0
690.0,725.03,739.0
693.0,726.08,739.0
685.0,725.415,739.0
693.0,726.93,741.0
693.0,728.905,741.0
697.0,730.235,742.0
674.0,729.515,742.0
700.0,731.84,742.0
694.0,731.285,742.0
706.0,733.27,743.0
708.0,733.94,743.0
692.0,732.815,743.0
676.0,732.92,743.0
712.0,737.105,743.0
699.0,736.52,743.0
704.0,738.035,745.0
709.0,738.12,745.0
710.0,738.285,745.0
694.0,736.445,745.0
697.0,737.595,748.0
703.0,738.035,748.0
690.0,736.46,747.0
701.0,737.665,748.0
701.0,737.555,748.0
688.0,737.06,749.0
696.0,739.76,760.0
702.0,740.77,749.0
702.0,739.91,749.0
694.0,739.075,760.0
704.0,741.065,760.0
683.0,741.355,761.0
692.0,743.36,767.0
701.0,746.69,767.0
714.0,748.84,767.0
716.0,751.56,767.0
715.0,753.205,767.0
670.0,752.445,767.0
713.0,755.465,767.0
719.0,755.91,767.0
719.0,756.115,767.0
717.0,756.93,768.0
722.0,759.27,767.0
694.0,756.685,768.0
707.0,757.145,768.0
720.0,758.165,768.0
721.0,759.93,768.0
720.0,760.84,768.0
681.0,757.655,768.0
697.0,759.015,769.0
671.0,756.485,768.0
709.0,759.11,768.0
713.0,760.51,768.0
710.0,760.005,770.0
724.0,761.185,770.0
700.0,758.875,770.0
684.0,758.25,770.0
693.0,757.375,770.0
724.0,761.19,773.0
721.0,760.71,773.0
716.0,760.95,773.0
672.0,758.765,773.0
720.0,762.22,773.0
723.0,763.41,773.0
698.0,760.97,774.0
710.0,761.42,773.0
723.0,761.49,774.0
701.0,759.43,774.0
705.0,760.445,774.0
705.0,761.57,774.0
723.0,763.285,775.0
718.0,763.715,775.0
687.0,761.485,775.0
699.0,762.195,775.0
718.0,765.955,776.0
722.0,768.115,776.0
715.0,767.94,776.0
723.0,768.405,776.0
695.0,767.835,776.0
732.0,768.965,776.0
717.0,767.455,776.0
704.0,765.545,776.0
715.0,767.14,776.0
728.0,768.23,776.0
735.0,770.6,777.0
708.0,767.66,777.0
720.0,768.19,777.0
735.0,768.87,777.0
725.0,768.815,777.0
725.0,767.85,778.0
729.0,769.56,778.0
708.0,768.525,778.0
729.0,768.035,778.0
683.0,765.185,778.0
716.0,766.575,778.0
699.0,765.58,778.0
732.0,768.17,778.0
729.0,767.325,778.0
695.0,766.5,778.0
730.0,769.295,778.0
715.0,767.225,779.0
725.0,769.13,778.0
730.0,771.5,778.0
730.0,772.885,779.0
740.0,773.435,779.0
746.0,773.165,779.0
710.0,771.86,779.0
735.0,773.295,779.0
749.0,773.93,779.0
728.0,771.75,779.0
733.0,772.675,779.0
735.0,772.35,780.0
736.0,771.8,779.0
739.0,772.525,781.0
743.0,772.735,781.0
725.0,770.39,781.0
725.0,769.56,781.0
731.0,770.975,781.0
738.0,772.375,781.0
740.0,772.705,781.0
714.0,771.235,785.0
697.0,771.11,785.0
732.0,773.17,785.0
740.0,774.695,785.0
746.0,774.76,785.0
730.0,771.12,786.0
730.0,771.155,786.0
730.0,770.455,786.0
730.0,772.01,786.0
710.0,772.28,786.0
738.0,775.105,786.0
730.0,773.935,786.0
733.0,773.665,786.0
733.0,772.915,786.0
719.0,776.205,787.0
722.0,775.44,787.0
703.0,774.31,787.0
724.0,776.875,787.0
738.0,778.74,787.0
739.0,779.945,787.0
739.0,780.875,787.0
738.0,780.8,788.0
748.0,781.59,787.0
748.0,780.28,788.0
746.0,780.235,788.0
706.0,779.54,788.0
713.0,778.065,788.0
724.0,778.555,788.0
719.0,777.695,788.0
719.0,775.585,788.0
729.0,777.295,788.0
730.0,776.71,788.0
744.0,779.77,788.0
747.0,781.36,789.0
738.0,781.05,789.0
733.0,779.52,788.0
729.0,778.69,789.0
739.0,777.785,789.0
722.0,776.39,789.0
739.0,777.315,789.0
720.0,776.035,789.0
720.0,775.705,789.0
727.0,776.81,789.0
742.0,779.745,789.0
709.0,776.59,790.0
724.0,776.695,790.0
734.0,778.645,790.0
733.0,778.28,790.0
747.0,782.0,790.0
732.0,781.595,790.0
711.0,779.99,790.0
747.0,782.47,790.0
728.0,780.925,790.0
728.0,780.63,790.0
728.0,780.94,790.0
689.0,776.695,790.0
732.0,780.775,790.0
731.0,779.28,792.0
734.0,781.0,791.0
753.0,782.865,792.0
754.0,783.36,792.0
679.0,779.11,792.0
