worst,averge,best
0.0,6.63,61.0
24.0,48.895,73.0
41.0,54.06,101.0
46.0,58.24,101.0
50.0,63.82,116.0
54.0,71.305,126.0
57.0,82.675,126.0
65.0,96.935,132.0
78.0,108.12,145.0
90.0,115.145,145.0
103.0,127.185,157.0
111.0,132.21,157.0
116.0,136.205,165.0
121.0,141.115,173.0
126.0,144.985,173.0
127.0,148.1,190.0
132.0,153.67,190.0
139.0,158.705,186.0
141.0,164.23,214.0
145.0,176.025,236.0
153.0,182.05,236.0
159.0,189.39,264.0
172.0,200.635,264.0
178.0,210.04,293.0
184.0,219.37,293.0
186.0,234.035,293.0
196.0,251.135,309.0
212.0,264.835,309.0
236.0,282.515,319.0
249.0,288.215,320.0
264.0,293.59,323.0
272.0,300.0,325.0
277.0,305.97,325.0
278.0,308.99,390.0
282.0,315.025,390.0
288.0,321.73,390.0
293.0,328.62,390.0
305.0,350.68,399.0
317.0,367.695,413.0
320.0,379.23,413.0
326.0,389.345,415.0
383.0,395.535,413.0
386.0,397.715,420.0
386.0,398.86,420.0
387.0,402.29,425.0
387.0,405.13,438.0
389.0,411.89,438.0
389.0,416.0,453.0
389.0,420.115,472.0
397.0,427.5,472.0
406.0,433.01,472.0
413.0,438.64,472.0
414.0,445.585,486.0
416.0,449.855,489.0
431.0,458.005,486.0
435.0,469.375,489.0
439.0,473.355,489.0
460.0,476.81,489.0
462.0,479.02,498.0
469.0,481.395,491.0
470.0,483.385,498.0
472.0,484.375,498.0
472.0,485.73,498.0
472.0,487.35,498.0
472.0,490.205,498.0
472.0,491.985,500.0
484.0,493.485,504.0
486.0,495.015,504.0
488.0,495.65,504.0
488.0,496.175,504.0
489.0,497.29,506.0
489.0,498.015,504.0
489.0,499.405,511.0
494.0,501.07,506.0
498.0,501.635,511.0
498.0,502.475,511.0
498.0,503.17,511.0
498.0,503.785,511.0
498.0,504.595,511.0
498.0,505.835,511.0
498.0,506.5,511.0
500.0,507.41,511.0
504.0,508.885,511.0
504.0,509.65,511.0
504.0,509.77,511.0
505.0,510.31,511.0
505.0,510.565,511.0
506.0,510.81,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
507.0,510.98,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
501.0,510.9,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
489.0,510.84,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
