worst,averge,best
0.0,6.695,66.0
24.0,57.34,105.0
42.0,67.265,105.0
56.0,74.005,106.0
67.0,81.87,112.0
67.0,91.615,134.0
73.0,98.43,138.0
82.0,105.075,140.0
97.0,111.505,140.0
103.0,116.88,149.0
106.0,130.33,149.0
112.0,137.05,162.0
118.0,140.0,162.0
134.0,144.02,184.0
134.0,146.705,163.0
139.0,149.745,184.0
139.0,153.33,211.0
140.0,157.12,211.0
140.0,164.465,211.0
149.0,187.465,238.0
160.0,194.97,221.0
167.0,203.915,301.0
184.0,212.2,301.0
196.0,224.97,418.0
196.0,241.83,418.0
211.0,266.645,418.0
212.0,306.85,457.0
252.0,360.06,463.0
301.0,413.365,463.0
391.0,433.01,477.0
418.0,439.745,481.0
418.0,445.325,481.0
418.0,451.015,481.0
418.0,459.095,489.0
428.0,466.475,501.0
457.0,470.09,501.0
457.0,472.645,501.0
457.0,479.625,501.0
463.0,484.53,501.0
465.0,488.76,501.0
467.0,490.55,511.0
477.0,493.605,511.0
481.0,495.24,511.0
481.0,497.595,511.0
481.0,500.195,511.0
484.0,502.53,511.0
501.0,504.3,511.0
501.0,505.2,511.0
501.0,506.05,511.0
501.0,506.55,511.0
501.0,507.2,511.0
501.0,507.7,511.0
501.0,508.25,511.0
501.0,508.825,511.0
501.0,509.225,511.0
501.0,510.295,511.0
501.0,510.65,512.0
501.0,510.66,512.0
511.0,511.065,512.0
511.0,511.115,512.0
511.0,511.205,512.0
511.0,511.265,512.0
511.0,511.35,512.0
511.0,511.465,512.0
511.0,511.55,512.0
511.0,511.595,512.0
511.0,511.64,512.0
511.0,511.67,512.0
511.0,511.72,512.0
511.0,511.73,512.0
511.0,511.795,512.0
511.0,511.835,512.0
511.0,511.915,512.0
511.0,511.905,512.0
511.0,511.93,512.0
511.0,511.935,512.0
511.0,511.915,512.0
511.0,511.9,512.0
511.0,511.925,513.0
511.0,512.0,512.0
512.0,512.005,512.0
512.0,512.015,513.0
512.0,512.04,515.0
512.0,512.045,513.0
512.0,512.1,515.0
511.0,512.15,515.0
512.0,512.35,515.0
512.0,512.69,515.0
512.0,512.945,515.0
512.0,513.08,515.0
512.0,513.27,517.0
512.0,513.55,517.0
512.0,513.7,517.0
512.0,513.97,517.0
512.0,514.18,517.0
512.0,514.6,517.0
512.0,514.87,517.0
512.0,515.19,517.0
512.0,515.385,517.0
512.0,515.72,517.0
512.0,515.715,517.0
512.0,515.695,517.0
513.0,515.935,517.0
513.0,516.26,517.0
513.0,516.57,518.0
513.0,516.63,518.0
514.0,516.73,518.0
515.0,516.965,518.0
515.0,517.13,518.0
513.0,517.215,521.0
512.0,517.36,521.0
515.0,517.555,521.0
516.0,517.745,521.0
516.0,517.97,522.0
517.0,518.195,522.0
517.0,518.615,522.0
517.0,518.935,523.0
517.0,519.205,524.0
517.0,520.08,526.0
516.0,520.47,526.0
517.0,521.035,526.0
517.0,521.745,532.0
513.0,522.215,532.0
518.0,522.925,532.0
514.0,523.07,532.0
517.0,523.755,532.0
517.0,524.7,532.0
519.0,526.705,532.0
519.0,527.935,534.0
521.0,528.465,534.0
521.0,529.015,534.0
521.0,529.0,534.0
522.0,530.02,539.0
521.0,530.57,539.0
522.0,531.385,541.0
523.0,531.925,541.0
523.0,533.495,544.0
526.0,535.295,542.0
529.0,536.43,544.0
513.0,536.51,544.0
524.0,537.115,545.0
530.0,538.305,545.0
530.0,539.075,552.0
531.0,539.865,552.0
532.0,540.52,552.0
524.0,541.3,553.0
532.0,542.99,556.0
534.0,544.525,555.0
539.0,545.785,556.0
539.0,546.225,554.0
535.0,547.235,556.0
539.0,548.36,556.0
539.0,549.46,569.0
539.0,550.095,560.0
539.0,552.05,569.0
539.0,553.12,569.0
539.0,555.225,577.0
541.0,557.695,577.0
541.0,559.64,577.0
541.0,561.135,583.0
542.0,562.815,577.0
