worst,averge,best
0.0,7.14,51.0
17.0,43.555,91.0
39.0,57.59,91.0
51.0,66.44,93.0
51.0,74.665,103.0
67.0,81.08,105.0
73.0,85.96,129.0
76.0,90.665,129.0
76.0,96.945,138.0
78.0,104.2,142.0
99.0,120.4,142.0
103.0,126.04,176.0
105.0,131.525,190.0
112.0,137.18,190.0
126.0,144.575,193.0
129.0,153.475,193.0
137.0,166.175,225.0
142.0,176.795,259.0
143.0,185.57,259.0
176.0,207.51,265.0
183.0,215.83,262.0
190.0,229.115,265.0
199.0,243.525,311.0
216.0,254.34,303.0
227.0,258.815,308.0
228.0,264.97,308.0
238.0,271.85,310.0
248.0,278.405,354.0
262.0,294.87,355.0
262.0,301.49,370.0
263.0,310.01,370.0
270.0,323.46,370.0
296.0,335.365,413.0
307.0,342.785,414.0
308.0,350.49,428.0
309.0,358.205,428.0
329.0,366.445,414.0
354.0,384.4,428.0
366.0,395.2,479.0
368.0,401.165,428.0
369.0,408.225,479.0
370.0,414.17,480.0
370.0,421.465,485.0
400.0,430.885,486.0
413.0,443.715,485.0
414.0,456.175,486.0
428.0,468.255,490.0
428.0,475.86,497.0
429.0,479.68,494.0
478.0,482.98,494.0
479.0,484.275,497.0
479.0,485.16,497.0
479.0,486.535,497.0
480.0,488.125,498.0
480.0,489.505,498.0
485.0,492.495,504.0
485.0,493.495,512.0
485.0,495.72,519.0
486.0,496.155,512.0
487.0,497.685,519.0
490.0,499.235,519.0
491.0,500.785,519.0
493.0,503.445,519.0
494.0,505.81,519.0
495.0,509.415,519.0
497.0,511.32,520.0
497.0,513.745,529.0
498.0,513.97,525.0
501.0,515.285,529.0
504.0,516.275,529.0
509.0,517.21,529.0
509.0,518.465,529.0
511.0,519.7,530.0
510.0,520.7,529.0
512.0,522.41,531.0
513.0,522.79,533.0
513.0,523.75,533.0
513.0,524.44,533.0
515.0,526.16,533.0
519.0,527.445,536.0
519.0,528.325,537.0
518.0,528.565,537.0
519.0,527.93,538.0
520.0,529.285,538.0
520.0,530.585,538.0
520.0,531.05,538.0
520.0,532.23,546.0
520.0,532.825,546.0
519.0,533.19,546.0
521.0,534.11,555.0
521.0,534.785,549.0
521.0,536.74,549.0
524.0,538.15,549.0
528.0,540.685,549.0
530.0,542.35,549.0
530.0,543.36,571.0
530.0,544.715,571.0
535.0,545.25,549.0
537.0,546.09,549.0
538.0,547.085,571.0
538.0,549.33,571.0
540.0,551.495,571.0
544.0,555.05,587.0
515.0,556.88,587.0
544.0,559.91,587.0
545.0,563.33,588.0
546.0,565.515,588.0
546.0,567.88,587.0
547.0,570.32,588.0
543.0,573.97,590.0
549.0,576.97,605.0
549.0,580.245,600.0
558.0,583.465,605.0
565.0,585.615,605.0
571.0,587.86,605.0
570.0,589.225,605.0
571.0,592.145,609.0
573.0,593.505,609.0
574.0,595.79,610.0
576.0,596.55,610.0
575.0,596.665,612.0
559.0,597.405,611.0
570.0,599.48,611.0
574.0,601.325,612.0
576.0,602.58,618.0
582.0,603.11,618.0
582.0,603.76,612.0
583.0,605.58,620.0
584.0,606.335,618.0
586.0,607.235,624.0
583.0,608.5,620.0
586.0,610.36,624.0
581.0,610.43,630.0
584.0,610.79,624.0
586.0,612.075,636.0
586.0,614.24,636.0
594.0,616.955,630.0
600.0,618.675,636.0
602.0,621.6,636.0
603.0,623.37,636.0
607.0,624.51,641.0
607.0,626.27,641.0
609.0,627.75,641.0
600.0,628.66,641.0
611.0,630.495,641.0
612.0,632.47,641.0
612.0,632.705,648.0
586.0,633.165,648.0
587.0,633.52,648.0
594.0,635.525,648.0
599.0,637.255,648.0
599.0,638.6,648.0
605.0,640.02,649.0
624.0,641.53,654.0
624.0,641.71,649.0
628.0,643.06,649.0
594.0,641.525,649.0
608.0,641.665,649.0
617.0,642.375,649.0
625.0,644.445,649.0
633.0,645.76,649.0
633.0,646.31,649.0
636.0,646.845,649.0
637.0,646.735,649.0
637.0,647.32,650.0
640.0,647.855,656.0
640.0,648.355,659.0
634.0,648.515,656.0
638.0,649.14,659.0
613.0,649.385,659.0
627.0,650.155,659.0
624.0,650.395,659.0
627.0,650.745,661.0
643.0,652.57,661.0
646.0,653.185,661.0
646.0,654.61,661.0
644.0,655.505,661.0
647.0,656.485,662.0
612.0,656.905,662.0
627.0,656.985,662.0
645.0,657.815,662.0
646.0,658.445,662.0
649.0,659.36,663.0
649.0,659.86,665.0
650.0,660.175,665.0
652.0,660.51,665.0
648.0,660.685,665.0
654.0,661.125,665.0
627.0,660.945,665.0
644.0,661.29,665.0
649.0,661.49,666.0
651.0,661.93,666.0
651.0,661.9,666.0
652.0,661.98,666.0
643.0,662.05,668.0
643.0,662.4,666.0
616.0,662.375,668.0
656.0,663.515,668.0
655.0,663.665,670.0
654.0,663.835,668.0
656.0,664.435,674.0
658.0,664.98,674.0
658.0,665.855,674.0
659.0,666.695,674.0
623.0,666.03,674.0
635.0,667.505,677.0
641.0,668.175,677.0
656.0,669.52,677.0
659.0,670.61,677.0
633.0,669.83,677.0
660.0,671.015,684.0
660.0,671.205,678.0
660.0,672.045,686.0
659.0,672.325,686.0
650.0,672.87,686.0
631.0,673.01,686.0
644.0,674.295,686.0
661.0,678.505,695.0
661.0,678.71,695.0
661.0,679.43,695.0
661.0,678.24,695.0
659.0,678.89,695.0
662.0,679.84,695.0
663.0,680.49,695.0
636.0,680.525,695.0
621.0,680.7,695.0
662.0,685.105,695.0
663.0,686.3,695.0
663.0,685.655,696.0
664.0,687.255,696.0
664.0,687.855,696.0
660.0,687.615,696.0
661.0,688.49,696.0
646.0,685.95,696.0
661.0,686.935,699.0
