worst,averge,best
0.0,7.22,58.0
27.0,51.595,66.0
42.0,58.19,78.0
49.0,61.955,78.0
50.0,64.4,79.0
60.0,66.52,84.0
64.0,69.51,101.0
64.0,71.56,101.0
64.0,75.085,118.0
65.0,81.455,118.0
76.0,98.975,133.0
79.0,108.43,137.0
97.0,117.205,134.0
101.0,121.02,156.0
115.0,124.3,158.0
118.0,126.945,168.0
118.0,131.61,168.0
118.0,139.025,174.0
119.0,148.125,175.0
134.0,158.94,194.0
142.0,163.98,217.0
144.0,168.655,217.0
154.0,174.24,217.0
158.0,181.06,249.0
160.0,190.09,251.0
166.0,202.41,253.0
172.0,211.805,268.0
186.0,224.32,268.0
201.0,242.555,350.0
217.0,256.16,369.0
232.0,275.325,369.0
248.0,302.325,389.0
249.0,325.095,389.0
268.0,342.57,389.0
321.0,358.415,389.0
330.0,364.375,409.0
345.0,368.64,389.0
349.0,379.37,409.0
350.0,385.445,417.0
367.0,388.505,410.0
368.0,392.2,439.0
370.0,396.13,439.0
374.0,402.28,439.0
388.0,408.04,439.0
389.0,413.465,439.0
389.0,417.72,452.0
407.0,426.29,444.0
409.0,429.4,445.0
409.0,433.455,472.0
410.0,437.845,471.0
416.0,440.64,471.0
428.0,441.71,471.0
434.0,444.215,472.0
435.0,447.36,472.0
435.0,450.785,479.0
438.0,455.045,479.0
439.0,459.7,491.0
440.0,464.385,491.0
443.0,469.725,521.0
444.0,473.955,521.0
449.0,478.275,521.0
466.0,482.745,521.0
468.0,489.28,521.0
470.0,493.73,526.0
471.0,507.755,526.0
477.0,513.025,527.0
479.0,515.74,527.0
484.0,517.295,527.0
491.0,519.14,528.0
511.0,520.75,528.0
511.0,521.55,530.0
511.0,521.925,535.0
511.0,523.455,535.0
518.0,525.205,530.0
518.0,525.47,537.0
518.0,525.79,535.0
518.0,526.365,541.0
520.0,527.595,537.0
521.0,528.48,539.0
521.0,530.06,550.0
523.0,531.55,550.0
523.0,533.135,550.0
523.0,535.26,550.0
525.0,536.745,550.0
527.0,538.31,550.0
528.0,540.675,553.0
528.0,542.3,551.0
530.0,545.365,553.0
535.0,546.905,566.0
535.0,548.35,568.0
535.0,549.505,568.0
537.0,550.385,569.0
537.0,553.225,569.0
536.0,553.52,586.0
537.0,556.305,586.0
537.0,559.685,586.0
537.0,562.625,586.0
546.0,566.72,586.0
546.0,568.315,586.0
550.0,570.56,603.0
550.0,574.905,603.0
543.0,577.64,608.0
553.0,580.99,608.0
561.0,584.28,608.0
563.0,586.81,608.0
567.0,590.675,608.0
568.0,593.345,608.0
552.0,593.735,610.0
567.0,596.505,610.0
563.0,600.78,610.0
564.0,601.585,620.0
582.0,603.995,615.0
582.0,604.46,620.0
585.0,605.66,620.0
585.0,607.91,620.0
590.0,609.535,620.0
559.0,610.385,636.0
580.0,611.89,620.0
594.0,614.82,636.0
598.0,616.395,636.0
603.0,618.065,636.0
604.0,619.815,636.0
604.0,621.7,642.0
607.0,623.465,637.0
597.0,625.035,642.0
607.0,626.355,642.0
608.0,628.66,642.0
610.0,632.855,642.0
605.0,633.25,642.0
612.0,634.31,642.0
593.0,634.555,642.0
615.0,636.675,643.0
617.0,636.745,644.0
616.0,637.775,643.0
611.0,638.075,643.0
616.0,637.875,647.0
620.0,639.815,652.0
629.0,641.375,652.0
629.0,642.625,652.0
636.0,643.55,652.0
636.0,644.575,652.0
627.0,645.01,653.0
636.0,646.1,653.0
631.0,646.95,653.0
621.0,647.245,653.0
618.0,647.05,653.0
614.0,647.17,653.0
623.0,649.12,653.0
633.0,649.665,658.0
634.0,650.23,658.0
634.0,650.805,658.0
608.0,649.81,658.0
617.0,650.59,658.0
636.0,652.575,659.0
638.0,651.88,658.0
642.0,652.58,658.0
633.0,652.605,660.0
614.0,652.92,660.0
622.0,653.79,660.0
609.0,654.065,660.0
634.0,655.175,660.0
605.0,654.89,660.0
616.0,655.38,660.0
624.0,654.31,660.0
624.0,654.685,660.0
633.0,655.265,660.0
633.0,655.485,660.0
636.0,656.35,661.0
636.0,656.355,661.0
625.0,655.91,661.0
639.0,657.58,661.0
634.0,657.975,665.0
622.0,657.11,666.0
629.0,657.135,666.0
629.0,657.905,666.0
629.0,658.43,666.0
642.0,659.555,666.0
646.0,660.615,667.0
647.0,661.85,667.0
649.0,662.465,668.0
655.0,663.195,668.0
652.0,663.425,668.0
649.0,663.685,668.0
611.0,663.38,668.0
627.0,663.54,668.0
622.0,663.09,668.0
643.0,664.355,668.0
644.0,664.58,668.0
655.0,665.315,668.0
622.0,664.815,668.0
643.0,664.49,668.0
613.0,663.98,668.0
627.0,664.735,668.0
619.0,664.485,668.0
636.0,665.02,670.0
655.0,665.85,668.0
655.0,666.13,668.0
655.0,666.26,670.0
659.0,666.645,670.0
624.0,665.825,670.0
660.0,666.625,670.0
653.0,666.465,670.0
660.0,667.34,670.0
638.0,667.025,670.0
660.0,667.64,670.0
647.0,667.955,670.0
636.0,667.395,670.0
629.0,666.89,670.0
635.0,666.0,672.0
649.0,667.15,670.0
652.0,667.56,672.0
644.0,667.47,672.0
653.0,667.54,672.0
653.0,667.86,672.0
653.0,668.0,672.0
656.0,668.15,672.0
657.0,668.57,672.0
656.0,668.565,672.0
656.0,668.93,674.0
661.0,669.11,674.0
655.0,669.02,674.0
663.0,669.64,674.0
663.0,669.855,674.0
637.0,669.62,674.0
659.0,670.325,675.0
664.0,671.12,675.0
662.0,671.58,675.0
665.0,671.86,675.0
665.0,672.255,677.0
665.0,672.305,675.0
666.0,672.43,677.0
656.0,672.62,677.0
666.0,672.945,677.0
656.0,673.015,681.0
666.0,673.485,681.0
640.0,673.45,681.0
656.0,674.12,681.0
647.0,674.58,681.0
660.0,675.205,681.0
665.0,675.39,681.0
665.0,675.7,681.0
666.0,676.39,686.0
616.0,674.63,686.0
653.0,676.435,686.0
618.0,675.825,686.0
637.0,676.33,686.0
655.0,677.68,686.0
651.0,677.03,686.0
659.0,677.525,696.0
663.0,678.16,696.0
663.0,678.745,686.0
665.0,679.425,703.0
666.0,680.75,703.0
666.0,681.355,703.0
666.0,683.02,703.0
666.0,684.985,706.0
666.0,685.17,706.0
666.0,687.655,706.0
666.0,688.055,706.0
666.0,690.15,728.0
666.0,693.385,706.0
668.0,695.605,729.0
668.0,696.64,729.0
668.0,696.955,729.0
668.0,698.645,729.0
674.0,702.79,729.0
677.0,704.855,729.0
677.0,706.66,729.0
678.0,711.62,740.0
679.0,712.825,730.0
682.0,713.59,730.0
690.0,719.695,740.0
690.0,721.925,740.0
687.0,722.57,740.0
689.0,723.75,740.0
684.0,723.3,740.0
688.0,726.08,740.0
687.0,726.525,744.0
700.0,729.375,744.0
702.0,731.2,744.0
679.0,731.31,744.0
688.0,731.885,754.0
691.0,732.8,754.0
696.0,732.84,754.0
700.0,734.775,754.0
700.0,736.295,754.0
701.0,737.86,754.0
703.0,737.98,754.0
676.0,738.74,755.0
700.0,740.495,755.0
699.0,741.335,757.0
701.0,741.605,755.0
706.0,742.31,763.0
706.0,743.27,757.0
703.0,741.15,763.0
706.0,741.625,763.0
710.0,744.73,763.0
674.0,744.405,766.0
711.0,748.83,766.0
715.0,750.805,766.0
720.0,752.085,766.0
713.0,752.51,766.0
715.0,753.03,766.0
718.0,753.915,766.0
711.0,754.25,766.0
715.0,754.675,767.0
709.0,754.085,768.0
692.0,753.895,768.0
695.0,752.775,779.0
700.0,753.735,779.0
707.0,756.3,779.0
717.0,760.025,779.0
719.0,760.11,779.0
724.0,760.705,779.0
719.0,761.74,779.0
730.0,766.395,781.0
726.0,766.395,781.0
740.0,769.48,782.0
725.0,769.31,782.0
742.0,771.255,782.0
740.0,770.66,782.0
750.0,772.885,782.0
739.0,773.135,782.0
746.0,775.89,782.0
750.0,777.71,783.0
736.0,776.73,783.0
721.0,776.33,783.0
741.0,777.74,783.0
717.0,775.67,783.0
729.0,776.825,783.0
717.0,777.2,783.0
742.0,776.995,783.0
705.0,773.47,783.0
729.0,774.875,783.0
743.0,774.6,783.0
723.0,774.06,783.0
727.0,774.675,783.0
729.0,774.79,783.0
744.0,778.92,783.0
726.0,777.355,783.0
728.0,776.145,783.0
731.0,775.155,783.0
736.0,776.935,783.0
729.0,777.645,784.0
720.0,777.13,784.0
729.0,777.095,784.0
733.0,778.06,784.0
725.0,776.64,784.0
736.0,779.025,784.0
754.0,780.565,784.0
711.0,778.305,784.0
728.0,778.29,784.0
728.0,776.55,784.0
736.0,776.85,784.0
736.0,776.255,784.0
743.0,778.095,784.0
712.0,776.6,784.0
710.0,775.53,784.0
722.0,775.28,784.0
722.0,775.685,784.0
688.0,771.345,784.0
708.0,769.67,784.0
712.0,771.975,789.0
712.0,769.55,784.0
713.0,770.86,789.0
