worst,averge,best
0.0,6.165,50.0
18.0,36.58,55.0
33.0,42.245,72.0
34.0,45.915,72.0
39.0,49.41,72.0
41.0,55.92,77.0
44.0,62.195,99.0
53.0,68.045,121.0
55.0,73.44,121.0
68.0,80.46,121.0
72.0,98.73,129.0
77.0,110.635,152.0
99.0,117.81,166.0
99.0,123.335,166.0
112.0,131.02,189.0
120.0,138.18,192.0
121.0,147.455,202.0
122.0,156.1,202.0
129.0,163.215,223.0
152.0,180.045,223.0
153.0,186.68,242.0
162.0,197.405,242.0
173.0,207.905,242.0
181.0,214.685,242.0
196.0,221.445,262.0
202.0,226.21,253.0
202.0,229.685,262.0
204.0,233.94,262.0
223.0,242.815,267.0
223.0,246.915,268.0
227.0,252.1,295.0
234.0,256.335,296.0
235.0,261.13,313.0
242.0,266.535,296.0
243.0,272.955,299.0
254.0,279.52,313.0
255.0,285.485,322.0
264.0,297.075,364.0
269.0,301.685,328.0
285.0,306.765,382.0
293.0,311.23,382.0
294.0,316.87,382.0
295.0,323.19,406.0
295.0,333.89,406.0
298.0,348.93,411.0
313.0,358.49,414.0
323.0,382.49,414.0
344.0,394.045,426.0
364.0,399.625,422.0
382.0,404.095,426.0
382.0,407.99,437.0
382.0,412.24,437.0
406.0,416.735,461.0
406.0,419.17,437.0
406.0,422.235,461.0
411.0,429.135,461.0
411.0,433.075,461.0
411.0,438.385,461.0
414.0,443.83,485.0
414.0,449.59,485.0
422.0,455.885,485.0
434.0,460.675,486.0
437.0,466.785,496.0
461.0,469.505,486.0
461.0,475.78,496.0
461.0,477.5,496.0
461.0,480.295,496.0
461.0,483.37,496.0
461.0,486.675,508.0
468.0,489.18,499.0
483.0,491.255,508.0
485.0,492.4,509.0
485.0,494.59,509.0
486.0,498.515,509.0
492.0,500.55,509.0
492.0,501.345,509.0
496.0,502.005,509.0
496.0,503.165,509.0
496.0,504.455,509.0
496.0,505.805,509.0
496.0,506.44,511.0
496.0,506.97,511.0
499.0,508.715,511.0
506.0,509.245,511.0
507.0,509.465,511.0
508.0,509.84,511.0
508.0,510.035,511.0
509.0,510.285,511.0
509.0,510.5,511.0
509.0,510.52,511.0
509.0,510.64,511.0
509.0,510.84,511.0
509.0,510.91,511.0
509.0,510.93,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
