worst,averge,best
0.0,4.335,37.0
10.0,24.09,41.0
21.0,27.5,41.0
21.0,29.765,44.0
26.0,33.12,44.0
29.0,35.725,50.0
30.0,38.2,50.0
31.0,40.165,50.0
33.0,42.345,65.0
37.0,45.17,75.0
41.0,51.855,109.0
42.0,61.885,137.0
48.0,79.075,137.0
65.0,96.85,141.0
74.0,110.75,166.0
85.0,122.815,212.0
108.0,133.11,212.0
109.0,142.895,212.0
135.0,153.165,212.0
137.0,180.375,234.0
149.0,194.615,234.0
162.0,206.655,250.0
167.0,216.03,281.0
208.0,224.16,281.0
212.0,231.83,291.0
212.0,239.065,291.0
212.0,248.29,322.0
212.0,260.055,322.0
234.0,281.08,346.0
251.0,290.95,346.0
273.0,299.77,346.0
281.0,306.615,372.0
281.0,315.555,372.0
285.0,327.52,372.0
290.0,333.685,372.0
291.0,345.985,373.0
321.0,356.045,403.0
344.0,365.415,403.0
346.0,370.16,447.0
346.0,377.57,447.0
348.0,385.85,447.0
358.0,397.81,448.0
371.0,404.385,447.0
372.0,412.455,448.0
372.0,426.9,448.0
375.0,438.125,483.0
434.0,446.935,483.0
438.0,448.205,483.0
447.0,451.025,483.0
447.0,454.81,483.0
447.0,459.1,495.0
447.0,463.215,484.0
447.0,469.43,497.0
447.0,474.255,497.0
447.0,477.765,497.0
459.0,485.175,497.0
480.0,487.78,498.0
480.0,489.03,497.0
483.0,489.775,498.0
483.0,491.53,498.0
483.0,492.845,498.0
483.0,493.935,511.0
483.0,494.425,505.0
483.0,495.17,505.0
484.0,497.42,505.0
495.0,498.46,511.0
497.0,499.635,511.0
497.0,501.68,512.0
497.0,502.85,512.0
497.0,503.7,512.0
497.0,505.065,512.0
497.0,506.495,512.0
498.0,507.665,514.0
498.0,508.78,514.0
498.0,510.1,515.0
505.0,510.77,515.0
505.0,511.46,515.0
505.0,511.845,515.0
511.0,512.705,515.0
511.0,512.965,517.0
511.0,513.155,517.0
511.0,513.32,517.0
511.0,513.74,523.0
511.0,514.03,520.0
511.0,514.64,523.0
511.0,515.26,523.0
512.0,515.725,523.0
512.0,516.735,523.0
512.0,517.14,526.0
513.0,517.78,528.0
513.0,518.44,528.0
514.0,520.13,528.0
515.0,521.09,528.0
515.0,521.935,531.0
515.0,522.995,531.0
515.0,524.02,538.0
515.0,524.93,538.0
517.0,526.07,538.0
517.0,527.425,538.0
517.0,528.515,549.0
518.0,531.02,549.0
511.0,531.56,549.0
515.0,533.77,565.0
519.0,536.74,565.0
519.0,539.655,565.0
522.0,541.515,565.0
524.0,544.425,565.0
525.0,546.825,572.0
527.0,549.755,569.0
528.0,552.325,569.0
530.0,554.19,572.0
537.0,558.01,577.0
538.0,560.515,577.0
539.0,561.365,584.0
530.0,561.5,584.0
542.0,564.205,584.0
547.0,566.75,584.0
549.0,568.44,590.0
549.0,571.23,584.0
552.0,572.685,588.0
557.0,573.59,584.0
558.0,575.845,588.0
560.0,577.425,590.0
560.0,578.9,590.0
565.0,580.93,590.0
568.0,582.55,598.0
544.0,582.365,597.0
568.0,584.79,597.0
571.0,586.365,605.0
572.0,587.26,605.0
572.0,588.735,602.0
569.0,589.755,607.0
561.0,592.285,619.0
572.0,594.315,607.0
575.0,595.365,605.0
575.0,596.695,619.0
570.0,597.665,610.0
573.0,598.82,617.0
576.0,600.345,610.0
576.0,600.54,613.0
584.0,602.505,610.0
584.0,603.655,617.0
590.0,605.78,617.0
590.0,606.955,617.0
593.0,607.935,617.0
586.0,608.565,618.0
597.0,610.345,621.0
597.0,611.415,621.0
595.0,612.16,621.0
599.0,613.705,621.0
605.0,614.925,621.0
605.0,615.51,621.0
605.0,616.55,626.0
605.0,616.77,626.0
589.0,616.77,626.0
604.0,618.535,626.0
605.0,619.715,626.0
590.0,620.635,626.0
604.0,620.365,626.0
609.0,622.11,628.0
606.0,622.31,628.0
592.0,622.455,644.0
610.0,623.845,644.0
592.0,624.7,644.0
611.0,627.235,644.0
617.0,629.11,644.0
617.0,629.76,647.0
617.0,630.83,647.0
617.0,631.945,647.0
617.0,633.385,647.0
587.0,633.525,647.0
618.0,635.83,647.0
622.0,639.465,647.0
618.0,640.72,647.0
618.0,641.45,647.0
618.0,642.045,647.0
625.0,643.21,647.0
602.0,642.915,647.0
626.0,644.24,647.0
611.0,644.6,647.0
611.0,644.51,649.0
628.0,645.2,648.0
594.0,645.01,648.0
636.0,645.825,649.0
604.0,645.585,649.0
618.0,645.98,649.0
618.0,645.835,649.0
625.0,646.435,649.0
630.0,646.48,649.0
631.0,647.405,654.0
582.0,644.855,654.0
631.0,647.71,654.0
637.0,648.04,654.0
638.0,648.81,654.0
637.0,649.12,654.0
639.0,649.49,654.0
642.0,649.835,654.0
635.0,649.845,654.0
635.0,650.22,654.0
644.0,650.36,656.0
644.0,651.095,656.0
645.0,651.435,656.0
646.0,651.81,656.0
646.0,652.33,656.0
647.0,652.615,656.0
624.0,652.545,656.0
647.0,653.645,656.0
647.0,653.76,656.0
637.0,653.055,656.0
647.0,653.445,656.0
647.0,653.715,656.0
619.0,653.375,656.0
621.0,652.645,656.0
631.0,653.125,656.0
647.0,654.215,656.0
628.0,653.38,656.0
640.0,654.11,656.0
647.0,653.995,656.0
