worst,averge,best
0.0,5.765,65.0
25.0,60.775,76.0
57.0,66.04,80.0
61.0,67.93,95.0
64.0,69.86,95.0
65.0,72.545,99.0
65.0,76.71,99.0
66.0,81.78,112.0
69.0,87.46,112.0
75.0,93.625,112.0
89.0,101.765,149.0
94.0,105.53,149.0
95.0,108.48,154.0
96.0,113.015,154.0
99.0,120.13,158.0
102.0,128.735,158.0
109.0,136.925,180.0
113.0,144.33,180.0
117.0,149.935,181.0
147.0,162.37,193.0
149.0,167.3,193.0
151.0,172.185,198.0
154.0,177.48,212.0
158.0,182.64,212.0
162.0,185.325,217.0
170.0,189.455,231.0
176.0,193.74,239.0
179.0,197.815,231.0
183.0,206.87,248.0
187.0,213.86,254.0
191.0,219.305,277.0
194.0,227.22,279.0
204.0,233.465,279.0
211.0,239.065,277.0
214.0,247.23,287.0
227.0,258.795,325.0
229.0,266.055,325.0
238.0,279.945,346.0
253.0,288.83,349.0
266.0,298.205,349.0
273.0,308.4,365.0
276.0,321.085,365.0
281.0,329.655,371.0
304.0,337.26,371.0
314.0,342.37,375.0
323.0,347.5,373.0
325.0,357.475,391.0
332.0,361.495,391.0
345.0,364.67,391.0
346.0,366.96,398.0
347.0,369.16,398.0
352.0,374.81,414.0
358.0,377.445,399.0
364.0,381.97,415.0
365.0,384.58,415.0
371.0,391.535,415.0
373.0,394.1,416.0
377.0,397.23,416.0
378.0,400.025,425.0
380.0,402.105,425.0
383.0,404.71,425.0
389.0,409.72,426.0
393.0,413.705,427.0
395.0,415.65,432.0
402.0,419.29,436.0
409.0,421.835,468.0
413.0,424.88,468.0
414.0,427.485,468.0
415.0,430.255,468.0
418.0,436.03,468.0
418.0,440.205,469.0
423.0,448.4,474.0
425.0,453.22,470.0
425.0,461.325,484.0
429.0,465.8,484.0
454.0,468.89,487.0
460.0,470.155,484.0
468.0,472.035,487.0
468.0,473.505,484.0
468.0,474.285,487.0
468.0,475.845,492.0
468.0,477.72,492.0
469.0,479.965,496.0
469.0,480.995,492.0
469.0,483.235,496.0
471.0,485.02,504.0
471.0,486.55,504.0
474.0,488.32,504.0
476.0,489.94,504.0
482.0,491.785,504.0
484.0,493.23,504.0
487.0,495.565,504.0
487.0,496.7,504.0
487.0,498.225,504.0
487.0,499.485,504.0
490.0,501.04,511.0
492.0,501.975,504.0
492.0,502.66,511.0
495.0,503.33,511.0
496.0,504.0,511.0
503.0,505.57,511.0
503.0,506.075,511.0
504.0,506.8,511.0
504.0,507.255,511.0
504.0,507.605,511.0
504.0,507.97,511.0
504.0,508.23,511.0
504.0,508.9,511.0
504.0,509.6,511.0
504.0,510.21,511.0
504.0,510.71,511.0
509.0,510.925,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
