worst,averge,best
0.0,6.7,56.0
21.0,46.885,78.0
36.0,57.26,85.0
52.0,64.08,111.0
52.0,71.12,111.0
55.0,78.8,111.0
69.0,85.6,117.0
74.0,92.885,149.0
76.0,101.295,149.0
81.0,109.17,150.0
111.0,130.16,174.0
111.0,137.4,174.0
112.0,145.105,194.0
117.0,151.375,194.0
147.0,157.325,195.0
149.0,164.225,209.0
149.0,174.66,234.0
150.0,181.85,238.0
155.0,189.86,238.0
174.0,203.035,257.0
186.0,210.3,306.0
193.0,222.075,306.0
194.0,232.425,306.0
197.0,244.615,312.0
207.0,260.8,306.0
227.0,275.32,312.0
236.0,287.98,327.0
251.0,297.025,340.0
263.0,309.155,340.0
278.0,313.91,340.0
305.0,320.1,361.0
305.0,325.0,361.0
306.0,329.39,385.0
306.0,333.06,385.0
307.0,337.29,385.0
313.0,342.52,385.0
326.0,349.86,430.0
340.0,367.38,431.0
340.0,376.715,431.0
336.0,387.015,431.0
343.0,400.725,436.0
361.0,412.45,436.0
385.0,420.105,496.0
385.0,426.43,496.0
385.0,433.86,496.0
402.0,442.9,497.0
430.0,457.855,505.0
430.0,469.38,505.0
430.0,479.43,505.0
431.0,487.83,505.0
433.0,492.865,505.0
454.0,496.13,505.0
496.0,500.25,505.0
496.0,500.775,505.0
496.0,501.75,506.0
496.0,502.81,506.0
496.0,503.46,506.0
496.0,504.31,511.0
496.0,504.75,506.0
497.0,505.31,511.0
505.0,505.65,511.0
505.0,505.99,511.0
505.0,506.215,511.0
505.0,506.79,511.0
505.0,507.765,511.0
505.0,508.115,511.0
505.0,508.55,512.0
505.0,508.93,512.0
505.0,509.295,512.0
505.0,509.825,512.0
506.0,510.33,512.0
506.0,510.75,512.0
506.0,511.0,512.0
510.0,511.4,512.0
511.0,511.51,512.0
511.0,511.58,512.0
511.0,511.55,512.0
511.0,511.605,512.0
511.0,511.7,512.0
511.0,511.8,514.0
511.0,511.845,513.0
511.0,511.85,514.0
511.0,511.945,514.0
511.0,512.125,514.0
511.0,512.38,514.0
511.0,512.565,514.0
511.0,512.59,514.0
511.0,512.8,514.0
511.0,512.955,514.0
512.0,513.13,514.0
512.0,513.26,514.0
511.0,513.125,514.0
511.0,513.305,514.0
511.0,513.42,514.0
512.0,513.485,514.0
512.0,513.46,514.0
511.0,513.4,514.0
512.0,513.525,514.0
512.0,513.635,514.0
512.0,513.635,514.0
512.0,513.745,515.0
512.0,513.835,515.0
512.0,513.885,515.0
513.0,513.92,515.0
513.0,513.95,515.0
512.0,514.03,515.0
513.0,514.14,516.0
513.0,514.305,516.0
513.0,514.35,516.0
513.0,514.615,516.0
513.0,514.76,516.0
513.0,514.895,516.0
513.0,515.025,516.0
512.0,515.045,516.0
513.0,515.175,516.0
514.0,515.27,517.0
514.0,515.395,517.0
514.0,515.39,517.0
514.0,515.73,517.0
514.0,515.965,517.0
514.0,516.055,517.0
514.0,516.14,518.0
515.0,516.305,518.0
515.0,516.355,518.0
515.0,516.45,518.0
515.0,516.465,518.0
515.0,516.535,518.0
515.0,516.66,518.0
513.0,516.695,518.0
513.0,516.87,518.0
512.0,516.94,523.0
513.0,517.14,523.0
514.0,517.275,518.0
514.0,517.585,522.0
516.0,517.75,523.0
516.0,518.01,523.0
513.0,518.2,523.0
515.0,518.55,523.0
515.0,519.27,525.0
516.0,519.735,525.0
517.0,520.02,523.0
517.0,520.195,525.0
517.0,520.605,527.0
517.0,520.705,527.0
517.0,521.58,556.0
517.0,523.35,556.0
518.0,525.205,556.0
518.0,528.965,556.0
518.0,531.405,556.0
518.0,534.895,557.0
518.0,538.48,570.0
520.0,540.82,574.0
522.0,542.155,574.0
523.0,547.155,574.0
522.0,553.435,587.0
523.0,556.67,585.0
523.0,558.8,587.0
527.0,562.475,587.0
528.0,566.44,587.0
550.0,572.045,615.0
552.0,574.155,615.0
552.0,578.02,615.0
553.0,580.11,616.0
556.0,585.27,618.0
557.0,587.935,622.0
557.0,592.47,622.0
560.0,596.15,632.0
564.0,598.375,632.0
575.0,603.025,632.0
578.0,604.445,632.0
579.0,608.54,632.0
585.0,611.98,632.0
585.0,616.82,632.0
587.0,620.365,637.0
588.0,623.395,645.0
601.0,625.775,636.0
609.0,627.46,645.0
609.0,628.12,645.0
615.0,629.365,645.0
615.0,630.825,645.0
615.0,633.14,645.0
599.0,633.965,645.0
599.0,635.735,645.0
606.0,637.2,660.0
623.0,640.0,645.0
627.0,641.68,660.0
627.0,642.65,660.0
628.0,643.965,660.0
632.0,646.185,660.0
603.0,646.585,660.0
618.0,647.69,660.0
629.0,648.93,660.0
632.0,650.455,660.0
632.0,650.145,660.0
632.0,651.67,660.0
632.0,653.86,660.0
632.0,655.415,661.0
634.0,656.115,660.0
645.0,657.94,660.0
645.0,655.705,661.0
645.0,656.955,662.0
645.0,656.435,662.0
631.0,656.105,662.0
645.0,657.59,662.0
645.0,658.545,662.0
641.0,659.12,662.0
645.0,659.155,662.0
645.0,659.91,662.0
640.0,658.98,662.0
642.0,659.22,663.0
635.0,658.555,663.0
614.0,656.975,662.0
635.0,658.67,663.0
638.0,658.92,663.0
638.0,659.205,663.0
641.0,659.28,663.0
643.0,659.94,663.0
648.0,659.985,663.0
648.0,660.55,663.0
648.0,660.84,663.0
648.0,661.615,663.0
592.0,660.29,663.0
626.0,661.31,663.0
648.0,662.33,663.0
656.0,662.675,663.0
647.0,662.53,663.0
639.0,662.025,663.0
653.0,662.58,663.0
662.0,662.89,664.0
661.0,662.9,663.0
662.0,662.915,664.0
662.0,662.98,664.0
662.0,663.075,665.0
662.0,663.18,665.0
663.0,663.27,665.0
662.0,663.34,665.0
650.0,663.17,665.0
651.0,663.435,665.0
651.0,663.54,665.0
657.0,663.86,665.0
660.0,663.98,665.0
639.0,663.68,665.0
655.0,664.11,665.0
658.0,664.305,665.0
653.0,664.14,665.0
645.0,663.83,665.0
624.0,663.115,665.0
634.0,663.87,665.0
652.0,664.455,665.0
659.0,664.65,665.0
631.0,663.995,665.0
640.0,663.29,665.0
650.0,664.455,665.0
640.0,664.335,665.0
648.0,664.475,665.0
641.0,664.325,665.0
645.0,664.495,666.0
635.0,663.62,665.0
643.0,664.38,666.0
657.0,664.74,666.0
655.0,664.625,666.0
657.0,664.885,666.0
657.0,664.865,666.0
639.0,664.49,666.0
643.0,664.72,666.0
654.0,664.905,666.0
625.0,664.045,666.0
635.0,664.225,666.0
647.0,665.125,666.0
659.0,665.51,666.0
638.0,664.895,666.0
585.0,661.665,666.0
626.0,663.835,666.0
631.0,663.92,666.0
643.0,664.935,666.0
643.0,665.015,666.0
643.0,665.075,666.0
649.0,665.26,666.0
662.0,665.66,666.0
662.0,665.73,666.0
658.0,665.595,666.0
662.0,665.765,666.0
665.0,665.9,668.0
665.0,665.945,666.0
665.0,665.995,668.0
643.0,665.7,668.0
646.0,665.86,668.0
658.0,666.2,668.0
659.0,666.395,668.0
641.0,666.21,668.0
625.0,665.535,668.0
634.0,664.965,668.0
643.0,665.365,668.0
634.0,665.07,668.0
650.0,666.415,668.0
652.0,666.61,668.0
654.0,666.77,668.0
659.0,667.08,668.0
657.0,666.92,668.0
628.0,666.595,668.0
664.0,667.235,668.0
651.0,667.045,668.0
661.0,667.295,668.0
664.0,667.23,668.0
664.0,667.48,668.0
621.0,666.29,668.0
641.0,666.835,668.0
658.0,667.1,668.0
631.0,666.455,668.0
615.0,665.81,668.0
600.0,664.375,668.0
614.0,665.845,668.0
614.0,665.58,668.0
642.0,665.875,668.0
649.0,666.94,668.0
640.0,666.035,668.0
635.0,665.28,668.0
642.0,665.42,668.0
642.0,664.985,668.0
649.0,665.46,668.0
649.0,666.075,668.0
651.0,666.435,668.0
656.0,667.01,668.0
657.0,667.28,668.0
657.0,667.45,668.0
647.0,666.835,668.0
659.0,667.45,668.0
661.0,667.535,668.0
657.0,667.565,668.0
654.0,667.505,668.0
663.0,667.745,668.0
664.0,667.87,668.0
643.0,667.465,668.0
660.0,667.715,668.0
650.0,667.125,668.0
649.0,667.08,668.0
660.0,667.43,668.0
660.0,667.62,668.0
662.0,667.72,668.0
650.0,667.48,668.0
647.0,667.485,668.0
665.0,667.82,668.0
665.0,667.78,668.0
654.0,667.725,668.0
657.0,667.66,668.0
641.0,667.515,668.0
641.0,667.395,668.0
645.0,667.535,668.0
649.0,667.63,668.0
660.0,667.845,668.0
665.0,667.85,668.0
666.0,667.95,668.0
660.0,667.895,668.0
664.0,667.92,668.0
667.0,667.995,668.0
620.0,667.38,668.0
648.0,667.48,668.0
649.0,667.475,668.0
649.0,667.005,668.0
653.0,667.33,668.0
640.0,667.025,668.0
653.0,667.175,668.0
653.0,667.255,668.0
659.0,667.66,668.0
660.0,667.725,668.0
651.0,667.61,668.0
640.0,667.395,668.0
651.0,667.545,668.0
656.0,667.69,668.0
659.0,667.89,668.0
666.0,667.98,668.0
666.0,667.98,668.0
655.0,667.85,668.0
661.0,667.905,668.0
661.0,667.895,668.0
667.0,667.99,668.0
668.0,668.0,668.0
668.0,668.0,668.0
668.0,668.0,668.0
664.0,667.865,668.0
656.0,667.68,668.0
658.0,667.59,668.0
658.0,667.625,668.0
664.0,667.86,668.0
623.0,666.43,668.0
641.0,667.365,668.0
653.0,667.435,668.0
643.0,667.49,668.0
645.0,667.18,668.0
651.0,667.575,668.0
660.0,667.88,668.0
650.0,667.64,668.0
660.0,667.805,668.0
660.0,667.655,668.0
660.0,667.735,668.0
655.0,667.58,668.0
662.0,667.83,668.0
644.0,667.23,668.0
662.0,667.91,668.0
665.0,667.98,668.0
645.0,667.555,668.0
633.0,666.815,668.0
655.0,667.73,668.0
664.0,667.95,668.0
626.0,667.04,668.0
644.0,667.38,668.0
663.0,667.83,668.0
664.0,667.795,668.0
664.0,667.765,668.0
664.0,667.88,668.0
655.0,667.82,668.0
655.0,667.74,668.0
652.0,667.52,668.0
655.0,667.48,668.0
615.0,667.13,668.0
640.0,666.76,668.0
653.0,667.145,668.0
660.0,667.595,668.0
647.0,667.14,668.0
660.0,667.555,668.0
631.0,667.07,668.0
656.0,667.2,668.0
645.0,666.995,668.0
650.0,666.345,668.0
573.0,664.2,668.0
634.0,665.735,668.0
618.0,664.825,668.0
648.0,666.085,668.0
653.0,666.355,668.0
655.0,666.86,668.0
655.0,667.01,668.0
661.0,667.195,668.0
661.0,667.16,668.0
661.0,666.59,668.0
661.0,666.63,668.0
661.0,666.96,668.0
661.0,667.06,668.0
662.0,667.275,668.0
651.0,667.435,668.0
664.0,667.56,668.0
664.0,667.645,668.0
664.0,667.77,668.0
648.0,666.925,668.0
654.0,667.3,668.0
652.0,667.105,668.0
654.0,667.095,668.0
664.0,667.57,668.0
641.0,667.115,668.0
641.0,666.1,668.0
646.0,666.44,668.0
651.0,666.91,668.0
651.0,666.535,668.0
651.0,667.4,668.0
644.0,667.445,668.0
651.0,667.16,668.0
636.0,666.36,668.0
638.0,666.315,668.0
615.0,665.325,668.0
638.0,665.84,668.0
648.0,666.595,668.0
648.0,666.355,668.0
653.0,666.76,668.0
657.0,667.105,668.0
659.0,667.305,668.0
653.0,667.39,668.0
663.0,667.65,668.0
665.0,667.825,668.0
624.0,667.08,668.0
642.0,666.985,668.0
628.0,666.44,668.0
660.0,667.42,668.0
658.0,667.23,668.0
661.0,667.545,668.0
662.0,667.515,668.0
662.0,667.585,668.0
640.0,667.16,668.0
650.0,667.335,668.0
614.0,665.57,668.0
616.0,665.97,668.0
627.0,666.205,668.0
642.0,666.6,668.0
649.0,666.76,668.0
640.0,666.555,668.0
647.0,666.65,668.0
650.0,666.645,668.0
650.0,666.985,668.0
659.0,667.47,668.0
602.0,665.375,668.0
622.0,665.705,668.0
630.0,666.205,668.0
653.0,667.165,668.0
641.0,666.835,668.0
653.0,667.485,668.0
