worst,averge,best
0.0,6.46,32.0
11.0,24.795,41.0
19.0,32.21,48.0
24.0,36.85,52.0
33.0,39.27,57.0
37.0,40.905,59.0
37.0,43.54,75.0
37.0,47.7,76.0
41.0,53.81,79.0
45.0,60.245,80.0
52.0,71.065,97.0
58.0,75.405,97.0
67.0,79.71,112.0
75.0,82.92,117.0
75.0,87.575,117.0
76.0,92.195,117.0
77.0,97.435,121.0
91.0,105.455,173.0
93.0,110.315,173.0
97.0,122.22,173.0
110.0,134.505,213.0
112.0,148.115,176.0
117.0,162.23,213.0
133.0,174.43,220.0
162.0,182.94,240.0
173.0,189.58,240.0
173.0,196.39,261.0
173.0,205.495,266.0
189.0,230.3,305.0
200.0,242.69,306.0
217.0,257.18,321.0
234.0,274.74,322.0
240.0,288.385,359.0
246.0,298.82,359.0
274.0,309.435,369.0
290.0,317.625,359.0
296.0,323.23,369.0
296.0,338.895,376.0
302.0,346.555,426.0
305.0,354.34,426.0
315.0,362.415,426.0
322.0,369.835,426.0
347.0,377.275,426.0
354.0,385.035,448.0
359.0,392.59,448.0
359.0,403.935,448.0
369.0,423.045,470.0
374.0,428.105,471.0
387.0,431.98,492.0
397.0,438.01,471.0
426.0,445.02,492.0
426.0,451.085,492.0
426.0,455.83,492.0
426.0,464.48,492.0
440.0,468.89,492.0
448.0,481.59,492.0
456.0,486.105,492.0
469.0,488.725,511.0
471.0,490.235,511.0
477.0,492.36,511.0
492.0,493.545,511.0
492.0,494.805,511.0
492.0,496.705,511.0
492.0,498.51,511.0
492.0,501.68,511.0
492.0,503.235,511.0
492.0,505.235,511.0
492.0,507.04,511.0
492.0,507.21,511.0
492.0,508.455,511.0
492.0,509.28,511.0
492.0,509.89,511.0
492.0,510.05,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
497.0,510.93,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
504.0,510.965,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
501.0,510.865,511.0
509.0,510.99,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
494.0,510.915,511.0
508.0,510.985,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
511.0,511.0,511.0
