worst,averge,best
0.0,6.4,53.0
20.0,36.66,51.0
27.0,41.335,52.0
35.0,45.135,71.0
41.0,47.615,61.0
41.0,50.145,75.0
43.0,53.07,75.0
47.0,57.165,92.0
48.0,62.22,92.0
51.0,68.935,114.0
60.0,83.005,124.0
71.0,93.705,133.0
75.0,101.995,140.0
88.0,109.67,160.0
92.0,116.015,160.0
100.0,121.435,160.0
107.0,129.84,182.0
114.0,137.54,182.0
121.0,143.365,191.0
131.0,160.285,226.0
137.0,168.3,226.0
140.0,177.665,226.0
150.0,188.895,258.0
159.0,200.275,258.0
176.0,210.62,258.0
181.0,219.135,259.0
188.0,232.475,284.0
212.0,239.435,284.0
226.0,256.795,349.0
226.0,265.14,349.0
235.0,271.48,356.0
250.0,280.805,356.0
258.0,295.38,356.0
259.0,306.865,356.0
279.0,319.98,380.0
284.0,330.755,380.0
285.0,339.675,391.0
307.0,353.88,391.0
317.0,359.96,406.0
332.0,366.96,413.0
343.0,369.95,406.0
349.0,377.62,429.0
350.0,383.235,429.0
354.0,388.025,429.0
356.0,394.73,429.0
365.0,399.805,432.0
371.0,411.965,455.0
380.0,414.77,446.0
384.0,419.955,446.0
392.0,423.195,460.0
393.0,424.935,460.0
397.0,430.985,460.0
404.0,434.86,477.0
406.0,441.115,477.0
414.0,446.94,478.0
421.0,455.2,487.0
430.0,462.15,487.0
432.0,465.375,495.0
441.0,470.165,513.0
442.0,473.265,513.0
443.0,475.805,513.0
446.0,479.81,516.0
460.0,486.805,516.0
460.0,490.66,527.0
473.0,498.75,529.0
476.0,502.68,527.0
477.0,506.515,529.0
478.0,509.765,529.0
479.0,511.64,531.0
491.0,515.525,531.0
491.0,517.635,557.0
495.0,520.005,557.0
495.0,521.895,557.0
495.0,527.0,558.0
509.0,531.96,558.0
509.0,534.545,558.0
512.0,539.345,571.0
513.0,542.465,561.0
516.0,547.745,585.0
516.0,551.45,585.0
527.0,555.105,588.0
529.0,558.185,589.0
529.0,565.4,590.0
533.0,569.56,589.0
542.0,571.55,590.0
543.0,572.705,597.0
553.0,575.335,601.0
535.0,577.265,601.0
556.0,579.165,601.0
557.0,583.115,601.0
558.0,585.9,603.0
568.0,592.525,607.0
568.0,593.605,607.0
561.0,595.005,618.0
565.0,597.29,618.0
568.0,598.55,618.0
566.0,601.33,618.0
571.0,604.505,618.0
551.0,606.225,622.0
572.0,607.425,620.0
587.0,610.835,623.0
575.0,611.655,631.0
586.0,612.81,631.0
597.0,614.215,631.0
597.0,615.995,631.0
598.0,617.175,631.0
600.0,619.225,631.0
572.0,619.825,636.0
594.0,621.49,631.0
600.0,622.435,636.0
600.0,624.23,636.0
600.0,625.275,636.0
601.0,625.735,636.0
602.0,625.995,636.0
603.0,626.545,636.0
610.0,628.43,636.0
611.0,628.625,636.0
611.0,630.04,639.0
581.0,630.16,639.0
611.0,632.25,639.0
614.0,633.505,639.0
614.0,633.69,639.0
615.0,633.275,639.0
616.0,633.735,639.0
616.0,633.96,639.0
617.0,634.725,639.0
620.0,635.44,639.0
620.0,636.415,639.0
620.0,636.945,639.0
576.0,636.525,639.0
621.0,637.77,639.0
635.0,638.315,639.0
635.0,638.515,639.0
631.0,638.48,640.0
636.0,638.655,640.0
604.0,638.17,640.0
626.0,638.82,640.0
596.0,638.095,640.0
591.0,637.695,640.0
603.0,638.73,640.0
618.0,638.7,640.0
595.0,638.665,640.0
623.0,638.7,640.0
623.0,638.815,640.0
623.0,639.235,640.0
609.0,638.955,640.0
587.0,638.8,640.0
618.0,638.93,640.0
615.0,638.5,640.0
602.0,638.14,640.0
619.0,639.195,640.0
633.0,639.52,640.0
589.0,638.505,640.0
611.0,638.955,640.0
615.0,639.39,641.0
629.0,639.605,641.0
598.0,638.875,641.0
617.0,639.26,641.0
598.0,638.145,641.0
626.0,639.455,641.0
629.0,639.595,641.0
638.0,639.97,641.0
608.0,639.51,641.0
620.0,639.735,642.0
614.0,639.235,643.0
613.0,638.67,644.0
580.0,637.885,644.0
630.0,639.94,643.0
619.0,639.885,644.0
634.0,640.45,644.0
634.0,640.53,644.0
593.0,640.115,644.0
631.0,640.48,645.0
586.0,639.565,645.0
607.0,640.09,645.0
634.0,641.38,645.0
634.0,641.695,645.0
630.0,641.73,645.0
631.0,642.035,645.0
634.0,642.16,645.0
634.0,642.145,645.0
599.0,641.11,645.0
621.0,642.125,645.0
621.0,641.935,646.0
615.0,641.44,645.0
621.0,642.29,646.0
625.0,642.94,646.0
636.0,643.445,646.0
638.0,643.785,646.0
595.0,643.47,646.0
